,title,media,date,datetime,desc,link,img
61,Driverless cars get green light for testing on public roads in UK,The Guardian,"Jul 30, 2014",2014-07-30 00:00:00.000000,"The business secretary, Vince Cable, said a £10m fund will be made available for driverless car researchers in the UK, joint funded by the Department for ...",https://www.theguardian.com/technology/2014/jul/30/government-driverless-car-self-driving-car,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
62,Driverless Cars Could Reduce Traffic Fatalities by Up to 90 ...,ScienceAlert,"Oct 1, 2015",2015-10-01 00:00:00.000000,"""By midcentury, the penetration of AVs (autonomous vehicles) and other ADAs (advanced driver-assistance system) could ultimately cause vehicle crashes in the US ...",https://www.sciencealert.com/driverless-cars-could-reduce-traffic-fatalities-by-up-to-90-says-report,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
63,Federal Government Eases Safety Regulations On Some Autonomous Cars,Motor1.com,"Jan 15, 2021",2021-01-15 00:00:00.000000,"Federal Government Eases Safety Regulations On Some Autonomous Cars ... has updated certain safety rules that pertain to automated driving systems, ...",https://www.motor1.com/news/466569/nhtsa-self-driving-car-rules/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
64,SoftBank and Toyota want driverless cars to change the world,Latest Headlines on CNN Business,"Oct 4, 2018",2018-10-04 00:00:00.000000,The high-profile Japanese companies are forming a joint venture called Monet to develop businesses that will use driverless-car technology to offer new services ...,https://money.cnn.com/2018/10/04/technology/softbank-toyota-masa-son/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
65,California green lights fully driverless cars for testing on public roads,The Verge,"Feb 26, 2018",2018-02-26 00:00:00.000000,California will allow fully autonomous cars without safety drivers to test on public roads for the first time. The state's Department of Motor Vehicles ...,https://www.theverge.com/2018/2/26/17054000/self-driving-car-california-dmv-regulations,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
66,U.S. outlines strong support for self-driving cars at CES,Reuters,"Jan 8, 2020",2020-01-08 00:00:00.000000,"U.S. Transportation Secretary Elaine Chao unveiled the administration's latest principles for autonomous vehicles -- dubbed 4.0, which she says unifies ...",https://www.reuters.com/article/us-tech-ces-selfdriving-idUSKBN1Z72I1,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
67,GM says it's ready to mass produce self-driving cars,USA Today,"Jun 13, 2017",2017-06-13 00:00:00.000000,"CEO and Chairman Mary Barra said GM is the only automaker currently capable of mass-producing self-driving vehicles. ""The autonomous vehicles you see here today ...",https://www.usatoday.com/story/money/cars/2017/06/13/general-motors-we-can-mass-produce-self-driving-cars-now/102805626/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
68,Daimler and Bosch: fully autonomous cars within 5 years,TechCrunch,"Apr 4, 2017",2017-04-04 00:00:00.000000,"According to press releases from both companies, the goal is to create shared cars that can operate autonomously within designated areas of a city. The user can ...",https://techcrunch.com/2017/04/04/daimler-and-bosch-fully-autonomous-cars-within-5-years/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
69,Self-driving car startup Nuro teams up with Kroger for same-day grocery delivery,TechCrunch,"Jun 28, 2018",2018-06-28 00:00:00.000000,"Nuro, an autonomous vehicle startup focused on local deliveries, has partnered with 135-year-old grocery retailer Kroger to offer same-day deliveries.",https://techcrunch.com/2018/06/28/self-driving-car-startup-nuro-teams-up-with-kroger-for-same-day-grocery-delivery/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
70,GM will make an autonomous car without steering wheel or pedals by 2019,The Verge,"Jan 12, 2018",2018-01-12 00:00:00.000000,“It's a pretty exciting moment in the history of the path to wide scale [autonomous vehicle] deployment and having the first production car with no driver ...,https://www.theverge.com/2018/1/12/16880978/gm-autonomous-car-2019-detroit-auto-show-2018,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
71,Self-driving cars: who's building them and how do they work?,The Guardian,"May 26, 2016",2016-05-26 00:00:00.000000,"Many experts believe that full adoption of autonomous vehicles won't happen until 2030, but some vehicles with self-driving capabilities are expected by 2020.",https://www.theguardian.com/technology/2016/may/26/self-driving-cars-whos-building-them-and-how-do-they-work,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
72,Apple approached Nissan to work on autonomous car project,Financial Times,"Feb 14, 2021",2021-02-14 00:00:00.000000,"Apple approached Japan's Nissan in recent months about a tie-up for its secretive autonomous car project, but talks are no longer active, according to ...",https://www.ft.com/content/29d4aa6b-fba5-4a53-876e-3f097fdef1d2,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
73,"Cruise, GM, and Honda Showed a Fully Autonomous Vehicle, but It's Years Away",Car and Driver,"Jan 22, 2020",2020-01-22 00:00:00.000000,"On the Cruise Origin autonomous-car development project, all three companies involved—Honda, General Motors, and Cruise itself—had teams operating in Warren, ...",https://www.caranddriver.com/news/a30619863/gm-honda-cruise-origin-autonomous-bus/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
74,Michigan Just Passed the Most Permissive Self-Driving Car Laws in the Country,Fortune,"Dec 9, 2016",2016-12-09 00:00:00.000000,Michigan Just Passed the Most Permissive Self-Driving Car Laws in the Country ... California rules prohibit the use of fully autonomous driverless cars that ...,https://fortune.com/2016/12/09/michigan-self-driving-cars/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
75,Honda says will be first to mass produce level 3 autonomous cars,Reuters,"Nov 10, 2020",2020-11-10 00:00:00.000000,"There are six levels of vehicle autonomy, from 0 to 5, ranging from manual cars or those with simple functions such as cruise control to fully self-driving ...",https://www.reuters.com/article/honda-autonomous-level3-idUSKBN27R0M7,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
76,Track autonomous vehicle testing in your state with this new tool from the US government,TechCrunch,"Sep 2, 2020",2020-09-02 00:00:00.000000,The U.S. government rolled out a new online tool Wednesday designed to give the public insight into where and who is testing automated vehicle technology ...,https://techcrunch.com/2020/09/02/track-autonomous-vehicle-testing-in-your-state-with-this-new-tool-from-the-u-s-government/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
77,CNN Tech: 2016: A tipping point for excitement in self-driving ...,Latest Headlines on CNN Business,"Dec 21, 2016",2016-12-21 00:00:00.000000,"But in the background, self-driving cars started to gain steam. Automakers, tech companies and startups are all racing to develop autonomous technology.",https://money.cnn.com/2016/12/21/technology/2016-year-of-autonomous-car/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
78,Google Sees Self-Driving Car on Road Within Five Years,Wall Street Journal,"Jan 14, 2015",2015-01-14 00:00:00.000000,Executive Sees No Regulatory Hurdles to Company's Fully Automated Vehicle. A Google self-driving car shown on a test ...,https://www.wsj.com/articles/google-sees-self-drive-car-on-road-within-five-years-1421267677,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
79,"In a crash, should self-driving cars save passengers or pedestrians? 2 million people weigh in",PBS,"Oct 24, 2018",2018-10-24 00:00:00.000000,"The findings are important as autonomous vehicles prepare to take the road in the U.S. and other places around the world. In the future, car manufacturers ...",https://www.pbs.org/newshour/science/in-a-crash-should-self-driving-cars-save-passengers-or-pedestrians-2-million-people-weigh-in,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
80,The Self-Driving Car Industry’s Biggest Turning Point Yet,The New York Times,"Mar 30, 2018",2018-03-30 00:00:00.000000,"Autonomous vehicle manufacturers believe, with reason, that keeping their test vehicles on the road is a public health issue. The sooner they get safe self- ...",https://www.nytimes.com/2018/03/30/technology/self-driving-cars.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
81,Ford and Lyft will work together to deploy autonomous cars,The Verge,"Sep 27, 2017",2017-09-27 00:00:00.000000,"In addition to building its own self-driving technology, Lyft has said it is creating an open platform to deploy autonomous vehicles built by other companies.",https://www.theverge.com/2017/9/27/16373574/ford-lyft-self-driving-car-partnership-gm,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
82,Toyota Makes a U-Turn on Autonomous Cars,MIT Technology Review,"Jun 21, 2016",2016-06-21 00:00:00.000000,"The development of autonomous vehicles now threatens to change the very essence of driving. In the race to develop that technology, Toyota lags behind ...",https://www.technologyreview.com/2016/06/21/159367/toyota-makes-a-u-turn-on-autonomous-cars/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
83,"Driverless car finishes 3,400 mile cross-country trip",,"Apr 3, 2015",2015-04-03 00:00:00.000000,"Delphi said that 99% of the trip was done with the car in automated mode. The car, an Audi SQ5, was equipped with loads of autonomous driving technologies: ...",https://money.cnn.com/2015/04/03/autos/delphi-driverless-car-cross-country-trip/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
84,Google’s Driverless Cars Run Into Problem: Cars With Drivers,The New York Times,"Sep 2, 2015",2015-09-02 00:00:00.000000,It is not just a Google issue. Researchers in the fledgling field of autonomous vehicles say that one of the biggest challenges facing automated cars is ...,https://www.nytimes.com/2015/09/02/technology/personaltech/google-says-its-not-the-driverless-cars-fault-its-other-drivers.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
85,"Driverless cars will be on UK roads by 2021, says government",CNN,"Feb 6, 2019",2019-02-06 00:00:00.000000,Pilot models of the Uber self-driving car on display in 2016. London CNN —. Driverless cars could be in full use on Britain's roads ...,https://www.cnn.com/2019/02/06/uk/driverless-cars-scli-gbr-intl/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
86,Here’s why self-driving cars can’t handle bridges,Business - Insider,"Aug 25, 2016",2016-08-25 00:00:00.000000,"Unfortunately, that's a bit of a problem for driverless cars, as Raffi Krikorian, Uber's engineering director, recently told Bloomberg. ""Bridges are really hard ...",https://www.businessinsider.com/autonomous-cars-bridges-2016-8,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
87,BMW says it will deliver self-driving car by 2021,USA Today,"Jul 1, 2016",2016-07-01 00:00:00.000000,"The deal reflects a significant step forward for autonomous vehicles, marking the first time a major automaker has committed to a timeline for a car that ...",https://www.usatoday.com/story/money/cars/2016/07/01/bmw-intel-mobileye-autonomous-car-self-driving-car/86592136/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
88,Head of Google’s self-driving car spin-off steps down,Financial Times,"Apr 2, 2021",2021-04-02 00:00:00.000000,"In 2018 Waymo made deals with Jaguar and Fiat Chrysler to build more than 80,000 autonomous vehicles for a driverless fleet meant to start that year. Progress ...",https://www.ft.com/content/dc6e4693-ef3f-4bce-90e5-1bcdeb67c63d,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
89,US will rewrite safety rules to permit fully driverless cars on public roads,The Verge,"Oct 4, 2018",2018-10-04 00:00:00.000000,"Autonomous vehicles “could potentially save thousands of lives,” Transportation Secretary Elaine Chao said at an event in Washington, DC on Thursday. She cited ...",https://www.theverge.com/2018/10/4/17936576/self-driving-car-av-guidelines-3-nhtsa-elaine-chao,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
90,Can autonomous cars drive profits for automakers?,Detroit Free Press,"Aug 21, 2016",2016-08-21 00:00:00.000000,"Ford pledges a self-steering, self-accelerating, self-braking car by 2021. Volvo and Uber promise 100 autonomous XC90s on Pittsburgh streets by year's end.",https://www.freep.com/story/money/cars/ford/2016/08/21/uber--lyft-gm-pittsburgh-autonomous-vehicles-self-driving-autos-equal-profits/88944036/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
91,Driverless Cars Arrive in New York City,The New York Times,"Aug 6, 2019",2019-08-06 00:00:00.000000,"Autonomous vehicles have been heralded as the next revolution in transportation, promising to move people and goods far more efficiently than cars dependent on ...",https://www.nytimes.com/2019/08/06/nyregion/driverless-cars-new-york-city.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
92,India says no to driverless cars to protect jobs,BBC,"Jul 25, 2017",2017-07-25 00:00:00.000000,"India is resisting the push towards driverless cars in order to protect jobs, its transport minister has said. Nitin Gadkari said the government would ""not ...",https://www.bbc.com/news/technology-40716296,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
93,Uber self-driving cars allowed back on California roads,BBC,"Feb 5, 2020",2020-02-05 00:00:00.000000,It comes nearly two years after one of Uber's self-driving cars was involved in a fatal crash in Arizona. Uber scaled back its autonomous car operations ...,https://www.bbc.com/news/technology-51393808,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
94,"In self-driving cars, human drivers and standards come up short: experts",Reuters,"Apr 3, 2018",2018-04-03 00:00:00.000000,"In the Tesla incident last month, which involved a car that any consumer can buy, a Model X vehicle was in semi-autonomous Autopilot mode when it crashed, ...",https://www.reuters.com/article/us-autos-selfdriving-crashes-idUSKCN1HA2J6,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
95,Uber Self-Driving Experiment In Pittsburgh Offers Lessons For ...,NPR,"Apr 3, 2017",2017-04-03 00:00:00.000000,"Each autonomous vehicle has two Uber exployees in the front seat; one is ready to grab the wheel and apply a foot to the brake pedal, the other in the ...",https://www.npr.org/sections/alltechconsidered/2017/04/03/522099560/pittsburgh-offers-driving-lessons-for-ubers-autonomous-cars,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
96,Nevada issues Google first license for self-driving car,Las Vegas Sun,"May 7, 2012",2012-05-07 00:00:00.000000,CARSON CITY — Nevadans will soon see driverless cars being tested on ... Monday from the state Department of Motor Vehicles to test the autonomous vehicles.,https://lasvegassun.com/news/2012/may/07/nevada-issues-google-first-license-self-driving-ca/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
97,Here's What It's Like to Ride In Uber's Self-Driving Car,WIRED,"Sep 16, 2016",2016-09-16 00:00:00.000000,“We're working towards developing a transparent experience that provides riders with enough information about the trip and the vehicle system to feel safe and ...,https://www.wired.com/2016/09/heres-like-ride-ubers-self-driving-car/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
98,Ford commits $29 billion to electric and autonomous vehicle development,Engadget,"Feb 5, 2021",2021-02-05 00:00:00.000000,"Ford will invest $29 billion in electric and autonomous vehicles through 2025, more than double the $11.5 billion it promised through 2022 less than a year ...",https://www.engadget.com/ford-plans-to-invest-29-billion-in-electric-and-autonomous-vehicles-103538440.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
99,Waymo self-driving cars head to Florida for rainy season,TechCrunch,"Aug 20, 2019",2019-08-20 00:00:00.000000,"The self-driving car company, which is a business under Alphabet, began testing its autonomous vehicles in and around Mountain View, Calif., before branching ...",https://techcrunch.com/2019/08/20/waymo-self-driving-cars-head-to-florida-for-rainy-season/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
100,Nuro set to be California's first driverless delivery service,BBC,"Dec 24, 2020",2020-12-24 00:00:00.000000,"“Issuing the first deployment permit is a significant milestone in the evolution of autonomous vehicles in California,” said California Department of Motor ...",https://www.bbc.com/news/technology-55438969,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
101,Waymo CEO: Autonomous cars won't ever be able to drive in all conditions,CNET,"Nov 13, 2018",2018-11-13 00:00:00.000000,"John Krafcik, head of the self-driving car unit of Google parent company Alphabet, said that though driverless cars are ""truly here,"" they aren't ubiquitous yet ...",https://www.cnet.com/news/alphabet-google-waymo-ceo-john-krafcik-autonomous-cars-wont-ever-be-able-to-drive-in-all-conditions/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
102,"Study Backs Getting Driverless Cars On The Road, As Waymo ...",NPR,"Nov 10, 2017",2017-11-10 00:00:00.000000,A new study is bolstering the case for putting more autonomous vehicles on the road sooner rather than later — at the same time that self-driving cars are ...,https://www.npr.org/sections/alltechconsidered/2017/11/10/563002343/study-backs-getting-driverless-cars-on-the-road-as-waymo-ditches-backup-drivers,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
103,Nissan's Self-Driving Car Solution Relies on Human-Operated Call Centers,WIRED,"Jan 5, 2017",2017-01-05 00:00:00.000000,... that can trigger convulsions in the brain of an autonomous vehicle. ... in its way: Nissan's R&D chief believes the truly driverless car---something ...,https://www.wired.com/2017/01/nissans-self-driving-teleoperation/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
104,Ford plans to spend $4 billion on autonomous vehicles by 2023,TechCrunch,"Jul 24, 2018",2018-07-24 00:00:00.000000,"The automaker announced Tuesday it has created Ford Autonomous Vehicles LLC, which will house the company's self-driving systems integration, autonomous-vehicle ...",https://techcrunch.com/2018/07/24/ford-plans-to-spend-4-billion-on-autonomous-vehicles-by-2023/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
105,Volkswagen partners with Microsoft on automated cars,Engadget,"Feb 11, 2021",2021-02-11 00:00:00.000000,"To make that happen, it needs to develop both connected car and autonomous driving tech. Since last year, VW has been developing its own VW.OS operating system ...",https://www.engadget.com/volkswagen-group-teams-up-with-microsoft-on-automated-cars-105154799.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
106,Self-Driving Cars May Get Here Before We’re Ready,The New York Times,"Jan 21, 2016",2016-01-21 00:00:00.000000,"Even though fully autonomous cars could be ready for the road within the next decade, only 6 percent of the country's most populous cities have accounted ...",https://www.nytimes.com/2016/01/22/business/dealbook/davos-self-driving-cars-may-get-here-before-were-ready.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
107,FBI warns driverless cars could be used as 'lethal weapons',The Guardian,"Jul 16, 2014",2014-07-16 00:00:00.000000,"In an unclassified but restricted report obtained by the Guardian under a public records request, the FBI predicts that autonomous cars “will have a high impact ...",https://www.theguardian.com/technology/2014/jul/16/google-fbi-driverless-cars-leathal-weapons-autonomous,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
108,Self-driving cars could provide £62bn boost to UK economy by 2030,The Guardian,"Apr 4, 2019",2019-04-04 00:00:00.000000,Hawes said widespread trials of autonomous vehicles were already under way and the industry would attempt to achieve the government's ambition of driverless ...,https://www.theguardian.com/technology/2019/apr/04/self-driving-cars-could-provide-62bn-boost-to-uk-economy-by-2030-brexit,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
109,Domino’s and Ford will test self-driving pizza delivery cars,The Verge,"Aug 29, 2017",2017-08-29 00:00:00.000000,"Sherif Marakby, Vice President of Ford Autonomous Vehicles and Electrification, described the project as ethnographic research in an interview with The ...",https://www.theverge.com/2017/8/29/16213544/dominos-ford-pizza-self-driving-car,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
110,"All of the electric, connected, self-driving cars at CES 2017",The Verge,"Jan 6, 2017",2017-01-06 00:00:00.000000,"With an entire convention hall filled with carmakers, CES seems like the “Car Electronics Show” more than ever this year. Autonomous tech and connected cars ...",https://www.theverge.com/2017/1/6/14192380/ces-2017-car-news-autonomous-driving-electric-evs,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
111,Intel's Mobileye Plans Self-Driving Cars for the Masses by 2025,Bloomberg.com,"Jan 11, 2021",2021-01-11 00:00:00.000000,Mobileye NV CEO Amnon Shashua wants to build affordable autonomous cars.,https://www.bloomberg.com/news/articles/2021-01-11/intel-s-mobileye-plans-self-driving-cars-for-the-masses-by-2025,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
112,Domino’s will start delivering pizzas via an autonomous robot this fall,The Washington Post,"Jun 17, 2019",2019-06-17 00:00:00.000000,"“Nuro's vehicles are specially designed to optimize the food delivery experience, which makes them a valuable partner in our autonomous vehicle journey."".",https://www.washingtonpost.com/technology/2019/06/17/dominos-will-start-delivering-pizzas-via-an-autonomous-robot-this-fall/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
113,Self-Driving Cars Could Cut 90% of Accidents,The Wall Street Journal,"Mar 5, 2015",2015-03-05 00:00:00.000000,Their promise has become a central theme in an industry scrambling to improve vehicle safety and revolutionize the core of an automobile. “Autonomous vehicles ...,https://www.wsj.com/articles/self-driving-cars-could-cut-down-on-accidents-study-says-1425567905,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
114,"Keen to develop self-driving cars, Hyundai Motor Group unveils $35 billion investment plan",Reuters,"Oct 15, 2019",2019-10-15 00:00:00.000000,"South Korea's government is also onboard, unveiling more funding for autonomous vehicle technology with President Moon Jae-in declaring on Tuesday that he ...",https://www.reuters.com/article/us-southkorea-hyundai-motor-idUSKBN1WU0QG,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
115,Lyft Wants People to Be Hailing Fully Driverless Cars on Its ...,Bloomberg.com,"Dec 16, 2020",2020-12-16 00:00:00.000000,"Lyft Inc. expects customers will be able to use its app to hail cars without drivers starting in 2023, the company said Wednesday. The self-driving rides ...",https://www.bloomberg.com/news/articles/2020-12-16/lyft-wants-people-to-be-hailing-fully-driverless-cars-on-its-app-by-2023,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
116,"Apple just dismissed more than 200 employees from Project Titan, its autonomous vehicle group",CNBC,"Jan 24, 2019",2019-01-24 00:00:00.000000,"Apple just dismissed more than 200 employees from Project Titan, its autonomous vehicle group. Published Thu, Jan 24 20191:06 AM EST Updated Thu, ...",https://www.cnbc.com/2019/01/24/apple-lays-off-over-200-from-project-titan-autonomous-vehicle-group.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
117,Apple’s self-driving car strategy may be stuck in neutral,VentureBeat,"Feb 9, 2021",2021-02-09 00:00:00.000000,It will have a conflict of interest with a flourishing Apple Car that would undermine its own plans for becoming a leader in electric and autonomous vehicles.,https://venturebeat.com/2021/02/09/apples-self-driving-car-strategy-may-be-stuck-in-neutral/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
118,Honda launches world's first level 3 self-driving car,Nikkei Asia,"Mar 4, 2021",2021-03-04 00:00:00.000000,"TOKYO -- Honda Motor will on Friday launch a new car equipped with the world's first certified level 3 autonomous driving technology, paving the way for the ...",https://asia.nikkei.com/Business/Automobiles/Honda-launches-world-s-first-level-3-self-driving-car,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
119,Autonomous vehicles could cost America 5 million jobs. What should we do about it?,Los Angeles Times,"Sep 22, 2016",2016-09-22 00:00:00.000000,"Adding to the momentum, Ford and BMW say they will produce autonomous cars by 2021. Driverless cars will create some big winners — imagine how Uber's and Lyft's ...",https://www.latimes.com/opinion/op-ed/la-oe-greenhouse-driverless-job-loss-20160922-snap-story.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
120,Apple Self-Driving Cars Tests More Than Doubled in 2020,Bloomberg.com,"Feb 9, 2021",2021-02-09 00:00:00.000000,"more than doubled road testing of its self-driving cars in 2020 as its autonomous technology improved, though it still significantly lags behind rivals as it ...",https://www.bloomberg.com/news/articles/2021-02-09/apple-more-than-doubled-road-tests-of-autonomous-cars-in-2020,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
121,China lays out self-driving rules in global race: China Daily,Reuters,"Apr 12, 2018",2018-04-12 00:00:00.000000,SHANGHAI (Reuters) - China has laid out national guidelines for testing self-driving cars as it looks to keep pace with the United States in a global race ...,https://www.reuters.com/article/us-autos-selfdriving-china-idUSKBN1HK04J,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
122,Autonomous cars without human 'backup drivers' are coming ...,Curbed,"Feb 27, 2018",2018-02-27 00:00:00.000000,About 50 companies have licenses to operate driverless cars in the state but until now the DMV has required that a human be in the front seat of the vehicle and ...,https://archive.curbed.com/2018/2/27/17056958/driverless-cars-california-waymo-uber,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
123,How Jaywalking Could Jam Up the Era of Self-Driving Cars,The New York Times,"Aug 1, 2019",2019-08-01 00:00:00.000000,"Autonomous vehicles are classified by six levels, from zero to five. Fully autonomous, Level 5, vehicles will not be available for 10 years or longer, Mr.",https://www.nytimes.com/2019/08/01/business/self-driving-cars-jaywalking.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
