,title,media,date,datetime,desc,link,img
12,"Lyft, GM Teaming Up To Create Fleet Of Driverless Cars",NPR,"Jan 4, 2016",2016-01-04 00:00:00.000000,"If you hail a ride using the on-demand app Lyft, that car could one day be ... Although, when it comes to autonomous cars, Lyft and GM are not alone.",https://www.npr.org/sections/thetwo-way/2016/01/04/461922098/lyft-gm-teaming-up-to-create-fleet-of-driverless-cars,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
13,What It's Like To Ride In A (Nearly) Self-Driving Uber,NPR,"Sep 14, 2016",2016-09-14 00:00:00.000000,"Fourteen self-driving Ford Fusions idle in front of Uber's Advanced Technologies Center in Pittsburgh. On each vehicle, dozens of stationary and spinning ...",https://www.npr.org/sections/alltechconsidered/2016/09/14/493823483/self-driving-cars-take-to-the-streets-of-pittsburgh-courtesy-of-uber,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
14,Elon Musk: negative media coverage of autonomous vehicles could be ‘killing people’,The Verge,"Oct 19, 2016",2016-10-19 00:00:00.000000,"One of the early ones was straightforward: if an autonomous car crashes, will Tesla be liable? Specifically, would it “offer indemnity” to customers like ...",https://www.theverge.com/2016/10/19/13341306/elon-musk-negative-media-autonomous-vehicles-killing-people,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
15,The 15-Point Federal Checklist for Self-Driving Cars,The New York Times,"Sep 20, 2016",2016-09-20 00:00:00.000000,"In the guidelines, the United States Department of Transportation urged automakers and tech companies to prove that their semiautonomous and autonomous vehicles ...",https://www.nytimes.com/2016/09/21/technology/the-15-point-federal-checklist-for-self-driving-cars.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
16,Ford Promises Fleets of Driverless Cars Within Five Years,The New York Times,"Aug 16, 2016",2016-08-16 00:00:00.000000,"In the race to develop driverless cars, several automakers and technology companies are already testing vehicles that pilot themselves on public roads.",https://www.nytimes.com/2016/08/17/business/ford-promises-fleets-of-driverless-cars-within-five-years.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
17,Uber Sells Self-Driving Research Unit to Startup Aurora,NPR,"Dec 7, 2020",2020-12-07 00:00:00.000000,"Ride-hailing giant Uber is selling its autonomous vehicle research unit, Advanced Technologies Group, to the self-driving startup Aurora.",https://www.npr.org/2020/12/07/944004278/after-once-touting-self-driving-cars-uber-sells-unit-to-refocus-on-core-business,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
18,Self-driving cars a reality for 'ordinary people' within 5 years ...,,"Sep 25, 2012",2012-09-25 00:00:00.000000,"Such ""autonomous vehicles"" will be a reality for ""ordinary people"" in less than five years, Google co-founder Sergey Brin said Tuesday. He also said autonomous ...",https://www.computerworld.com/article/2491635/self-driving-cars-a-reality-for--ordinary-people--within-5-years--says-google-s-sergey-b.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
19,"Exclusive: In boost to self-driving cars, U.S. tells Google computers can qualify as drivers",Reuters,"Feb 9, 2016",2016-02-09 00:00:00.000000,... toward ultimately winning approval for autonomous vehicles on the roads. ... “We agree with Google its (self-driving car) will not have a 'driver' in ...,https://www.reuters.com/article/us-alphabet-autos-selfdriving-exclusive-idUSKCN0VJ00H,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
20,Elon Musk: Tesla Will Have Level 5 Self-Driving Cars This Year,Forbes,"Jul 9, 2020",2020-07-09 00:00:00.000000,"Tesla will have essentially fully autonomous self-driving vehicles this year, CEO Elon Musk said in a video recorded for a Chinese AI conference.",https://www.forbes.com/sites/johnkoetsier/2020/07/09/elon-musk-tesla-will-have-level-5-self-driving-cars-this-year/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
21,Self-Driving Cars: 5 Problems That Need Solutions,Live Science,"May 14, 2015",2015-05-14 00:00:00.000000,"Still, while some levels of automation are already in existing cars, completely driverless cars — with no steering wheels or brakes for human drivers ...",https://www.livescience.com/50841-future-of-driverless-cars.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
22,Google says it bears 'some responsibility' after self-driving car hit bus,Reuters,"Feb 29, 2016",2016-02-29 00:00:00.000000,The crash may be the first case of one of its autonomous cars hitting another vehicle and the fault of the self-driving car.,https://www.reuters.com/article/us-google-selfdrivingcar-idUSKCN0W22DG,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
23,Germany to require 'black box' in autonomous cars,Reuters,"Jul 18, 2016",2016-07-18 00:00:00.000000,Germany to require 'black box' in autonomous cars ... The fatal crash of a Tesla Motors Inc Model S car in its Autopilot mode has increased the pressure on ...,https://www.reuters.com/article/us-germany-autos-idUSKCN0ZY1LT,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
24,Uber’s Self-Driving Cars Are Valued at $7.25 Billion by Investors,The New York Times,"Apr 18, 2019",2019-04-18 00:00:00.000000,"An autonomous Volvo being developed by Uber. SoftBank, Toyota and the Japanese automaker Denso will put $1 billion toward Uber's efforts for autonomous cars ...",https://www.nytimes.com/2019/04/18/technology/uber-atg-autonomous-cars-investment.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
25,Opinion | Autonomous Vehicles Take Another Big Leap,The New York Times,"Dec 14, 2020",2020-12-14 00:00:00.000000,"The Amazon-owned Zoox is unveiling an electric self-driving vehicle. But are we ready for driverless cars? Dec. 14, 2020.",https://www.nytimes.com/2020/12/14/opinion/Zoox-Amazon-self-driving.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
26,U.S. lets autonomous vehicle bypass human-driver safety rules,PBS,"Feb 6, 2020",2020-02-06 00:00:00.000000,The service was to start early this year and use the vehicles as well as automated Toyota Prius hybrid cars. Nuro also was testing deliveries with Kroger in ...,https://www.pbs.org/newshour/science/u-s-lets-autonomous-vehicle-bypass-human-driver-safety-rules,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
27,"Microsoft teams up with Cruise on self-driving cars, chips in for $2 billion investment",The Verge,"Jan 19, 2021",2021-01-19 00:00:00.000000,"Microsoft is joining forces with Cruise, the self-driving subsidiary of General Motors, to help speed up the commercialization of autonomous vehicles.",https://www.theverge.com/2021/1/19/22238407/microsoft-cruise-self-driving-investment-azure-cloud,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
28,"Amazon to Buy Zoox, in a Move Toward Self-Driving Cars",The New York Times,"Jun 26, 2020",2020-06-26 00:00:00.000000,"But Zoox's ambitions have focused on creating a new kind of autonomous car designed specifically for passenger rides without a driver, sometimes called a ...",https://www.nytimes.com/2020/06/26/business/amazon-zoox.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
29,Toyota to invest $500 million in Uber for self-driving cars,Reuters,"Aug 27, 2018",2018-08-27 00:00:00.000000,"Their deal deepens an existing relationship and reflects CEO Dara Khosrowshahi's strategy of Uber developing autonomous vehicles through partnerships, ...",https://www.reuters.com/article/us-uber-toyota-idUSKCN1LC203,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
30,Competing With the Giants in Race to Build Self-Driving Cars,The New York Times,"Jan 4, 2018",2018-01-04 00:00:00.000000,"Sterling Anderson, left, and Chris Urmson at Aurora Innovation, a start-up founded by three veterans of autonomous vehicle research, including Mr. Urmson.",https://www.nytimes.com/2018/01/04/technology/self-driving-cars-aurora.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
31,Florida Law To Allow Autonomous Cars - When They're Ready,WUSF News,"Jun 14, 2019",2019-06-14 00:00:00.000000,"Las Vegas and other cities have used autonomous vehicles with human ""safety drivers"" in case of a vehicle malfunction. Florida's new law will allow self-driving ...",https://wusfnews.wusf.usf.edu/transportation/2019-06-14/florida-law-to-allow-autonomous-cars-when-theyre-ready,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
32,Driverless Cars: What Could Possibly Go Wrong?,Harvard Business Review,"Jan 15, 2016",2016-01-15 00:00:00.000000,"There sure is a lot of hype around autonomous cars. Tech firms love the concept — the vehicle is a mobile IT platform like no other. By and large, journalists ...",https://hbr.org/2016/01/driverless-cars-what-could-possibly-go-wrong,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
33,Waymo gets the green light to test fully driverless cars in California,The Verge,"Oct 30, 2018",2018-10-30 00:00:00.000000,"Waymo's driverless vehicles will operate in the shaded area. Waymo's permit includes day and night testing on city streets, rural roads, and highways with ...",https://www.theverge.com/2018/10/30/18044670/waymo-fully-driverless-car-permit-california-dmv,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
34,Google reports self-driving car mistakes: 272 failures and 13 near misses,The Guardian,"Jan 12, 2016",2016-01-12 00:00:00.000000,"The figures show that during the 14-month period, 49 Google self-driving cars racked up over 424,000 autonomous miles and suffered 341 disengagements, when ...",https://www.theguardian.com/technology/2016/jan/12/google-self-driving-cars-mistakes-data-reports,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
35,Lyft's president says 'majority' of rides will be in self-driving cars by 2021,The Verge,"Sep 18, 2016",2016-09-18 00:00:00.000000,"Or you can own a private vehicle."" Lyft will operate as a hybrid network, with drivers using autonomous vehicles, until the technology advances to the point ...",https://www.theverge.com/2016/9/18/12944506/lyft-self-driving-car-prediction-2021-john-zimmer,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
36,Uber Opening Robotics Research Facility In Pittsburgh To Build Self-Driving Cars,TechCrunch,"Feb 2, 2015",2015-02-02 00:00:00.000000,"Uber will be developing the core technology, the vehicles, and associated ... which is very interesting considering Uber's interest in automated vehicles.",https://techcrunch.com/2015/02/02/uber-opening-robotics-research-facility-in-pittsburgh-to-build-self-driving-cars/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
